policy,tau,K,M,lockout_hours,n_patients,n_sepsis,n_nonsepsis,sepsis_detected,sepsis_detection_rate,nonsepsis_alerted,nonsepsis_alert_rate,alerts_total,alerts_per_100_patient_hours,lead_time_median,lead_time_mean,lead_ge_1_rate,lead_ge_3_rate,lead_ge_6_rate,policy_name
B_persistence,0.023620689655172417,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.025172413793103452,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.026724137931034484,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.02827586206896552,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.029827586206896555,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.03137931034482759,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.03293103448275862,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.034482758620689655,2,4,6,493,39,454,37,0.9487179487179487,5,0.011013215859030838,415,2.167667798380778,64.0,68.51351351351352,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.036034482758620694,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.037586206896551726,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.03913793103448276,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.0406896551724138,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.04224137931034483,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.04379310344827586,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.0453448275862069,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.04689655172413793,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.048448275862068964,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.05,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.05126582278481013,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.052531645569620256,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.05379746835443038,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.05506329113924051,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.056329113924050635,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.05759493670886076,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.05886075949367089,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.060126582278481014,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.06139240506329114,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.06265822784810127,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.0639240506329114,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.06518987341772152,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,404,2.1102115434839384,64.0,68.43243243243244,0.9487179487179487,0.8974358974358975,0.8461538461538461,B_2of4
B_persistence,0.06645569620253164,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,312,1.6296683207103682,52.0,62.32432432432432,0.9487179487179487,0.8974358974358975,0.8205128205128205,B_2of4
B_persistence,0.06772151898734177,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,312,1.6296683207103682,52.0,62.32432432432432,0.9487179487179487,0.8974358974358975,0.8205128205128205,B_2of4
B_persistence,0.0689873417721519,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,312,1.6296683207103682,52.0,62.32432432432432,0.9487179487179487,0.8974358974358975,0.8205128205128205,B_2of4
B_persistence,0.07025316455696203,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,312,1.6296683207103682,52.0,62.32432432432432,0.9487179487179487,0.8974358974358975,0.8205128205128205,B_2of4
B_persistence,0.07151898734177214,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,312,1.6296683207103682,52.0,62.32432432432432,0.9487179487179487,0.8974358974358975,0.8205128205128205,B_2of4
B_persistence,0.07278481012658228,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,312,1.6296683207103682,52.0,62.32432432432432,0.9487179487179487,0.8974358974358975,0.8205128205128205,B_2of4
B_persistence,0.07405063291139241,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,312,1.6296683207103682,52.0,62.32432432432432,0.9487179487179487,0.8974358974358975,0.8205128205128205,B_2of4
B_persistence,0.07531645569620253,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,312,1.6296683207103682,52.0,62.32432432432432,0.9487179487179487,0.8974358974358975,0.8205128205128205,B_2of4
B_persistence,0.07658227848101265,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,311,1.6244450248106557,52.0,62.32432432432432,0.9487179487179487,0.8974358974358975,0.8205128205128205,B_2of4
B_persistence,0.07784810126582278,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,311,1.6244450248106557,52.0,62.2972972972973,0.9487179487179487,0.8974358974358975,0.8205128205128205,B_2of4
B_persistence,0.07911392405063292,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,306,1.598328545312092,52.0,62.21621621621622,0.9487179487179487,0.8717948717948718,0.8205128205128205,B_2of4
B_persistence,0.08037974683544304,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,306,1.598328545312092,52.0,62.21621621621622,0.9487179487179487,0.8717948717948718,0.8205128205128205,B_2of4
B_persistence,0.08164556962025316,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,306,1.598328545312092,52.0,62.21621621621622,0.9487179487179487,0.8717948717948718,0.8205128205128205,B_2of4
B_persistence,0.08291139240506329,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,306,1.598328545312092,52.0,62.21621621621622,0.9487179487179487,0.8717948717948718,0.8205128205128205,B_2of4
B_persistence,0.08417721518987342,2,4,6,493,39,454,37,0.9487179487179487,0,0.0,306,1.598328545312092,52.0,62.21621621621622,0.9487179487179487,0.8717948717948718,0.8205128205128205,B_2of4
