feature,importance_mean,importance_std
EtCO2__prev1,2.0763708145493664e-08,1.8255004236667532e-07
Bilirubin_direct__mean_6h,1.4027012269768325e-08,0.0
PTT__min_6h,7.829695668204461e-09,2.7288413706296595e-08
EtCO2__max_12h,3.3016506933991606e-09,6.603301386798321e-09
Alkalinephos__min_12h,2.7755575615628914e-19,5.551115123125783e-19
Chloride__max_24h,2.7755575615628914e-19,5.551115123125784e-19
Age__std_24h,0.0,0.0
Age__std_6h,0.0,0.0
Age__mean_12h,0.0,0.0
AST__delta_1h,0.0,0.0
O2Sat__miss,0.0,0.0
BaseExcess__std_6h,0.0,0.0
BaseExcess__prev1,0.0,0.0
BaseExcess__miss,0.0,0.0
WBC__delta_1h,0.0,0.0
WBC__miss,0.0,0.0
Chloride__delta_6h,0.0,0.0
Chloride__delta_1h,0.0,0.0
pH__prev1,0.0,0.0
pH__miss,0.0,0.0
Chloride__std_6h,0.0,0.0
Chloride__prev1,0.0,0.0
Chloride__miss,0.0,0.0
Chloride__mean_6h,0.0,0.0
Unit2__min_12h,0.0,0.0
Unit2__mean_24h,0.0,0.0
Unit2__max_6h,0.0,0.0
Unit2__max_24h,0.0,0.0
Unit2__max_12h,0.0,0.0
Unit2__delta_6h,0.0,0.0
Unit2__delta_1h,0.0,0.0
Unit1__std_6h,0.0,0.0
Unit1__std_24h,0.0,0.0
Unit1__std_12h,0.0,0.0
Unit1__prev1,0.0,0.0
Unit1__min_6h,0.0,0.0
Unit1__min_24h,0.0,0.0
Unit1__min_12h,0.0,0.0
Creatinine__miss,0.0,0.0
Creatinine__max_6h,0.0,0.0
Calcium__std_6h,0.0,0.0
DBP__delta_1h,0.0,0.0
Creatinine__std_6h,0.0,0.0
Unit1__mean_24h,0.0,0.0
Unit1__mean_12h,0.0,0.0
Unit1__max_6h,0.0,0.0
Unit1__max_24h,0.0,0.0
HCO3__miss,0.0,0.0
Alkalinephos__std_12h,0.0,0.0
HCO3__mean_6h,0.0,0.0
Alkalinephos__std_6h,0.0,0.0
HCO3__max_6h,0.0,0.0
HCO3__max_24h,0.0,0.0
HCO3__max_12h,0.0,0.0
HCO3__delta_1h,0.0,0.0
Alkalinephos__miss,0.0,0.0
SaO2__delta_1h,0.0,0.0
SaO2__min_6h,0.0,0.0
HCO3__std_6h,0.0,0.0
SaO2__std_24h,0.0,0.0
Alkalinephos__max_12h,0.0,0.0
Alkalinephos__delta_1h,0.0,0.0
SaO2__std_6h,0.0,0.0
Bilirubin_total__min_24h,0.0,0.0
Bilirubin_total__min_6h,0.0,0.0
Bilirubin_total__prev1,0.0,0.0
Bilirubin_total__std_6h,0.0,0.0
Glucose__delta_1h,0.0,0.0
Hct__delta_1h,0.0,0.0
Glucose__miss,0.0,0.0
HR__miss,0.0,0.0
Gender__min_24h,0.0,0.0
Resp__prev1,0.0,0.0
Gender__min_6h,0.0,0.0
Gender__miss,0.0,0.0
Hgb__miss,0.0,0.0
Gender__prev1,0.0,0.0
Gender__std_12h,0.0,0.0
Hgb__delta_1h,0.0,0.0
Gender__std_24h,0.0,0.0
Hct__miss,0.0,0.0
Gender__std_6h,0.0,0.0
Bilirubin_total__delta_1h,0.0,0.0
Gender__delta_1h,0.0,0.0
Potassium__miss,0.0,0.0
Bilirubin_total__max_12h,0.0,0.0
Bilirubin_total__max_24h,0.0,0.0
Potassium__delta_6h,0.0,0.0
Potassium__delta_1h,0.0,0.0
Bilirubin_total__max_6h,0.0,0.0
Bilirubin_direct__prev1,0.0,0.0
Bilirubin_direct__miss,0.0,0.0
Bilirubin_direct__min_6h,0.0,0.0
Bilirubin_direct__min_24h,0.0,0.0
Bilirubin_total__mean_6h,0.0,0.0
Fibrinogen__miss,0.0,0.0
Fibrinogen__std_12h,0.0,0.0
Bilirubin_direct__max_6h,0.0,0.0
Bilirubin_direct__max_24h,0.0,0.0
Bilirubin_direct__max_12h,0.0,0.0
Bilirubin_direct__delta_6h,0.0,0.0
Bilirubin_direct__delta_1h,0.0,0.0
Hgb__std_6h,0.0,0.0
Fibrinogen__std_6h,0.0,0.0
Platelets__miss,0.0,0.0
Gender__delta_6h,0.0,0.0
Gender__max_12h,0.0,0.0
Platelets__delta_1h,0.0,0.0
BUN__std_6h,0.0,0.0
Gender__max_24h,0.0,0.0
BUN__miss,0.0,0.0
HospAdmTime__std_12h,0.0,0.0
HospAdmTime__prev1,0.0,0.0
HospAdmTime__miss,0.0,0.0
HospAdmTime__min_6h,0.0,0.0
HospAdmTime__min_24h,0.0,0.0
HospAdmTime__min_12h,0.0,0.0
HospAdmTime__mean_24h,0.0,0.0
HospAdmTime__mean_12h,0.0,0.0
HospAdmTime__max_6h,0.0,0.0
HospAdmTime__max_24h,0.0,0.0
HospAdmTime__max_12h,0.0,0.0
HospAdmTime__delta_6h,0.0,0.0
HospAdmTime__delta_1h,0.0,0.0
Gender__max_6h,0.0,0.0
Bilirubin_direct__std_24h,0.0,0.0
Bilirubin_direct__std_12h,0.0,0.0
Lactate__std_6h,0.0,0.0
Lactate__prev1,0.0,0.0
Lactate__min_6h,0.0,0.0
Gender__mean_12h,0.0,0.0
Lactate__mean_12h,0.0,0.0
Gender__mean_24h,0.0,0.0
Gender__min_12h,0.0,0.0
Lactate__delta_6h,0.0,0.0
Lactate__delta_1h,0.0,0.0
HospAdmTime__std_6h,0.0,0.0
HospAdmTime__std_24h,0.0,0.0
Temp__miss,0.0,0.0
MAP__miss,0.0,0.0
TroponinI__delta_1h,0.0,0.0
TroponinI__delta_6h,0.0,0.0
TroponinI__max_6h,0.0,0.0
TroponinI__mean_12h,0.0,0.0
BUN__delta_1h,0.0,0.0
Phosphate__std_6h,0.0,0.0
Phosphate__std_12h,0.0,0.0
TroponinI__mean_24h,0.0,0.0
FiO2__min_6h,0.0,0.0
FiO2__std_6h,0.0,0.0
Phosphate__min_12h,0.0,0.0
Fibrinogen__delta_1h,0.0,0.0
Fibrinogen__delta_6h,0.0,0.0
BaseExcess__mean_12h,0.0,0.0
Fibrinogen__max_6h,0.0,0.0
Fibrinogen__mean_12h,0.0,0.0
Magnesium__miss,0.0,0.0
Fibrinogen__mean_24h,0.0,0.0
EtCO2__mean_12h,0.0,0.0
