tau,lockout_hours,n_patients,n_sepsis,n_nonsepsis,sepsis_detected,sepsis_detection_rate,nonsepsis_alerted,nonsepsis_alert_rate,alerts_total,alerts_per_100_patient_hours,lead_time_median,lead_time_mean,lead_ge_1_rate,lead_ge_3_rate,lead_ge_6_rate
0.5,6,493,39,454,8,0.20512820512820512,0,0.0,9,0.04700966309741447,10.5,29.25,0.20512820512820512,0.1794871794871795,0.1282051282051282
0.55,6,493,39,454,8,0.20512820512820512,0,0.0,9,0.04700966309741447,10.5,29.25,0.20512820512820512,0.1794871794871795,0.1282051282051282
0.6,6,493,39,454,8,0.20512820512820512,0,0.0,9,0.04700966309741447,10.5,29.25,0.20512820512820512,0.1794871794871795,0.1282051282051282
0.65,6,493,39,454,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0
0.7,6,493,39,454,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0
0.75,6,493,39,454,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0
0.8,6,493,39,454,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0
0.85,6,493,39,454,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0
0.8999999999999999,6,493,39,454,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0
0.95,6,493,39,454,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0
